59,Method,Decision,Compound_ID,MZ,RT,HMDB_ID,"HMDB_ID_specificity (1=match,2=representative)",Metabolite,super_class,main_class,sub_class,1S,2S,3S,4SA,5SA,6SA,7Q,8Q,9Q,10QA,11QA,12QA,Syn/Ctrl,p value_Syn_vs_Ctrl,Syn AKI-KD/Ctrl AKI-KD,p value_AKI_KD_Syn_vs_AKI_KD_Ctrl
67,HILIC-pos,KEEP,QI09255,160.1332,6.59,HMDB0000991,1,2-Aminooctanoic acid,Organic acids,Amino acids and peptides,Amino acids,2796,2319,1724,2554,2896,3431,952,1350,1499,1660,1576,1927,0.555783009,0.044576447,0.581353451,0.010939921
18417,C18-neg,,QI5670,158.1177,1.52,HMDB0000991,1,2-Aminooctanoic acid,Organic acids,Amino acids and peptides,Amino acids,2387,2191,1849,2274,2877,3219,1065,1117,1378,1638,1574,1861,0.553913179,0.006624571,0.60609319,0.019191312
57,HILIC-pos,,QI10655,134.0449,8.12,HMDB0000191,1,Aspartic acid,Organic acids,Amino acids and peptides,Amino acids,18041,19105,19359,10957,6494,13220,15270,5978,12255,6468,10908,6882,0.59292098,0.050255463,0.79090998,0.428866936
7499,HILIC-neg,KEEP,TF44,132.0302,4.93,HMDB0000191,1,Aspartic acid,Organic acids,Amino acids and peptides,Amino acids,36944435,51592048,52043396,18939431,14822994,25824297,33855312,8134565,23400977,7371019,17778659,11820024,0.465150877,0.04902687,0.620435237,0.162032136
167,HILIC-pos,KEEP,QI09640,372.3104,6.9,HMDB0005066,1,CAR 14:0,Fatty Acyls,Fatty esters,Acyl carnitines,24982,30278,21244,19364,17913,23671,11478,22857,25242,28880,6998,17246,0.778743595,0.321395914,0.871628273,0.710976522
18408,C18-neg,,TF18,416.3018,9.94,HMDB0005066,1,CAR 14:0,Fatty Acyls,Fatty esters,Acyl carnitines,17115,28244,7603,13689,22805,16375,10903,18919,36594,37750,2892,9452,1.254031192,0.666372361,0.947511774,0.937204707
252,HILIC-pos,,QI02201,538.5196,1.89,HMDB0004949,1,Cer 18:1;O2/16:0,Sphingolipids,Ceramides,Cer,210231,242265,193450,261919,255756,296557,230382,242682,289451,339291,272020,295192,1.180462454,0.166347511,1.113322738,0.26010032
9961,C8-pos,KEEP,QI03366,538.5193,8.69,HMDB0004949,1,Cer 18:1;O2/16:0,Sphingolipids,Ceramides,Cer,110985,148080,121613,156442,170291,176291,143619,163158,163914,226317,177088,201914,1.236454431,0.080212101,1.203360078,0.090891167
35,HILIC-pos,KEEP,QI08606,244.092,6.04,HMDB0000089,1,Cytidine,Nucleic acids,Pyrimidines,Pyrimidine ribonucleosides,34343,40096,31711,38051,40978,51478,30032,34924,38943,49502,46850,52112,0.978794159,0.843939358,1.137594152,0.240850236
7504,HILIC-neg,,TF60,242.0782,2.07,HMDB0000089,1,Cytidine,Nucleic acids,Pyrimidines,Pyrimidine ribonucleosides,445285,647577,533805,706372,856710,905526,585513,531432,568009,696390,725755,859456,1.035832165,0.764843252,0.924245972,0.469828036
173,HILIC-pos,,QI00815,608.5247,1.64,HMDB0007132,2,DG 34:3,Glycerolipids,Diradylglycerols,DAG,21880,21229,23205,29922,25329,30464,27743,26064,29831,32188,29060,37767,1.26124197,0.009476397,1.155165374,0.216375101
9971,C8-pos,KEEP,QI03512,613.4798,8.91,HMDB0007132,2,DG 34:3,Glycerolipids,Diradylglycerols,DAG,644389,766388,743527,980131,837828,1075123,859924,970299,1021407,1019188,980235,1310310,1.323689693,0.018529582,1.144016312,0.328481326
175,HILIC-pos,,QI00771,636.5555,1.62,HMDB0007219,2,DG 36:3,Glycerolipids,Diradylglycerols,DAG,6851,4672,3973,9238,6520,7461,9818,7714,8469,11270,10980,11129,1.677916882,0.030090968,1.437572678,0.013406857
9975,C8-pos,KEEP,QI03759,641.5113,9.35,HMDB0007219,2,DG 36:3,Glycerolipids,Diradylglycerols,DAG,266676,321406,294729,393223,334481,421335,446456,458342,418083,475747,453074,548965,1.498487219,0.001773073,1.286106042,0.047007615
174,HILIC-pos,,QI00789,634.5398,1.63,HMDB0007248,2,DG 36:4,Glycerolipids,Diradylglycerols,DAG,12775,10966,10528,11744,7479,10683,17735,11420,15783,20825,17686,16941,1.311330941,0.148357217,1.854209858,0.008230993
9976,C8-pos,KEEP,QI08545,639.4954,9.06,HMDB0007248,2,DG 36:4,Glycerolipids,Diradylglycerols,DAG,253084,266416,249873,281804,255726,273012,330998,309243,350543,352743,367992,369967,1.287781089,0.004695789,1.34564526,0.000575575
63,HILIC-pos,,QI10416,148.0604,7.83,HMDB0000148,1,Glutamic acid,Organic acids,Amino acids and peptides,Amino acids,315321,242935,253173,343849,312856,332003,233380,208525,275721,256850,295391,312097,0.884397772,0.355249066,0.874209575,0.090740269
7509,HILIC-neg,KEEP,TF79,146.0459,4.9,HMDB0000148,1,Glutamic acid,Organic acids,Amino acids and peptides,Amino acids,189519215,168471987,167643500,214553752,237664912,237093653,157511690,164513289,181010181,169209880,194353286,207011660,0.957005232,0.492670951,0.827745003,0.04242139
103,HILIC-pos,,QI10642,308.0907,8.1,HMDB0000125,1,Glutathione,Organic acids,Amino acids and peptides,Peptides,25547,25971,2984,37130,19422,18708,33718,14036,5622,18419,32515,14410,0.979340208,0.975022495,0.868243423,0.70586716
7510,HILIC-neg,KEEP,TF81,306.0765,5.59,HMDB0000125,1,Glutathione,Organic acids,Amino acids and peptides,Peptides,12892505,10361158,2598644,33391564,7969737,8388074,26543303,7689410,5754785,32244700,28165815,17866210,1.546767103,0.55473783,1.573421274,0.370371826
24,HILIC-pos,KEEP,QI07807,284.0986,5.45,HMDB0000133,1,Guanosine,Nucleic acids,Purines,Purine ribonucleosides,1305822,1183935,1035982,1171043,1150828,1161756,1177031,1148749,1391024,1226014,1267972,1497245,1.054191476,0.591212962,1.145711352,0.115783234
7514,HILIC-neg,,TF89,282.0844,2.91,HMDB0000133,1,Guanosine,Nucleic acids,Purines,Purine ribonucleosides,80699170,72877119,64108209,70400720,69018763,67861551,74158345,76869386,87081715,79874185,86656255,102215745,1.093828216,0.333836895,1.296530511,0.03696179
17,HILIC-pos,,QI07363,203.0526,4.97,HMDB0000122,2,Hexose,Carbohydrates,Monosaccharides,Monosaccharides,389664,440447,439436,1365098,1659457,1734238,1333126,1671271,1720194,1496388,1310117,1636557,3.721477818,0.000721009,0.933653134,0.513827826
7515,HILIC-neg,KEEP,TF73,179.0561,2.07,HMDB0000122,2,Hexose,Carbohydrates,Monosaccharides,Monosaccharides,19000348,18072595,15930476,19757564,24297977,27449295,16929205,25683143,20041670,21912415,18588947,21818038,1.182075028,0.302194217,0.871541052,0.285447499
18352,C18-neg,,QI2786,179.0554,0.75,HMDB0000122,2,Hexose,Carbohydrates,Monosaccharides,Monosaccharides,630647,557354,518414,676606,669750,760834,606600,681919,607437,689065,591134,706230,1.111075559,0.200827423,0.942690977,0.433590983
179,HILIC-pos,KEEP,QI10497,468.3082,7.93,HMDB0010379,0,LPC 14:0,Glycerophospholipids,Glycerophosphocholines,LPC,776447,665470,607754,797740,761737,851809,641142,791465,792124,724690,596874,822901,1.085408829,0.454436695,0.889344939,0.275520388
9891,C8-pos,,QI01490,468.3087,4.36,HMDB0010379,1,LPC 14:0,Glycerophospholipids,Glycerophosphocholines,LPC,503084,531535,490722,600765,553816,596465,493388,635096,557877,434649,407019,591631,1.105563281,0.277222844,0.818538748,0.149193522
181,HILIC-pos,KEEP,QI10378,496.3395,7.79,HMDB0010382,1,LPC 16:0,Glycerophospholipids,Glycerophosphocholines,LPC,3450704,3542779,2944379,3408757,3637502,4006025,3275714,3619715,3695345,3779743,3259763,4094878,1.065699443,0.390944691,1.007428329,0.931532349
9893,C8-pos,,QI10233,496.34,4.87,HMDB0010382,1,LPC 16:0,Glycerophospholipids,Glycerophosphocholines,LPC,3226122,3853718,3019650,3871340,3836503,4276856,3294632,4184972,3989094,3945324,3318930,4426824,1.135571994,0.283339264,0.975500344,0.793899503
